Date,Open,High,Low,Close,Volume
24-08-2017,236.998,237.1721,235.7888,236.0209,50741671
25-08-2017,236.9012,237.588,236.4079,236.5723,64445912
28-08-2017,237.1624,237.1914,236.1177,236.582,40565606
29-08-2017,235.1213,237.1431,234.9956,236.8529,51135715
30-08-2017,236.8335,238.2748,236.6304,237.975,62030805
31-08-2017,238.6618,239.6775,238.0111,239.4066,103803880
01-09-2017,239.8226,240.2192,239.5808,239.7452,62006989
05-09-2017,239.1841,239.4357,236.9496,238.0233,91398777
06-09-2017,238.7779,239.2035,238.1878,238.8359,57916867
07-09-2017,239.1745,239.1938,238.3522,238.8069,58034730
08-09-2017,238.4877,239.039,238.2555,238.5264,63832825
11-09-2017,239.9387,241.1575,239.9193,241.0705,71364848
12-09-2017,241.4767,241.9217,241.2736,241.883,56896027
13-09-2017,241.5638,242.0378,241.438,241.9991,59228002
14-09-2017,241.6412,242.1442,241.4477,241.9217,95446349
15-09-2017,241.761,242.3443,241.6444,242.2471,95432382
18-09-2017,242.6554,243.1512,242.3346,242.7623,46235238
19-09-2017,243.0345,243.1026,242.6457,243.0053,47108148
20-09-2017,243.1026,243.2192,241.9846,243.0928,59574083
21-09-2017,242.9179,243.0151,242.2422,242.4415,48211398
22-09-2017,242.111,242.6748,242.0818,242.4901,51214032
25-09-2017,242.2082,242.6002,241.168,241.9943,57064357
26-09-2017,242.4707,242.7429,241.8728,242.1401,54081959
27-09-2017,242.9179,243.5109,241.936,243.0831,81001426
28-09-2017,242.772,243.4623,242.6748,243.3748,44778841
29-09-2017,243.365,244.3177,243.1609,244.2302,85578002
02-10-2017,244.483,245.2899,244.2911,245.2899,59022985
03-10-2017,245.426,245.844,245.2024,245.8148,66810169
04-10-2017,245.6496,246.3787,245.5232,246.1065,55953619
05-10-2017,246.4759,247.5841,246.1415,247.5647,63522757
06-10-2017,247.0689,247.6043,246.7772,247.2828,80645998
09-10-2017,247.5355,247.6036,246.5828,246.8745,35803138
10-10-2017,247.5063,247.9438,246.9036,247.5258,43057363
11-10-2017,247.4189,247.9146,247.2341,247.9146,47674325
12-10-2017,247.5647,247.9535,247.2779,247.5452,47065144
13-10-2017,248.0313,248.1577,247.5452,247.8466,54800435
16-10-2017,248.0994,248.391,247.7202,248.1771,38221675
17-10-2017,248.1188,248.4007,247.8758,248.3521,31560964
18-10-2017,248.7701,248.8187,248.3813,248.5951,40888330
19-10-2017,247.7299,248.7021,247.2633,248.6632,61903788
20-10-2017,249.5478,249.9756,248.648,249.9464,89176377
23-10-2017,250.3061,250.3353,248.8868,248.9743,63915306
24-10-2017,249.4506,249.6742,249.0132,249.4117,66935910
25-10-2017,249.0423,249.1687,246.9231,248.1771,103715291
26-10-2017,248.8576,249.159,248.3618,248.4979,69797972
27-10-2017,249.3242,250.7047,248.5032,250.5297,85562544
30-10-2017,249.9075,250.4228,249.2659,249.5964,54285687
31-10-2017,250.0145,250.2672,249.6499,249.9853,60304781
01-11-2017,250.8505,251.2296,249.9075,250.3158,54202736
02-11-2017,250.2381,250.5686,249.052,250.413,56449535
03-11-2017,250.588,251.2977,250.1311,251.2491,59589730
06-11-2017,251.1033,251.7838,251.0255,251.6379,49652598
07-11-2017,251.7546,252.124,250.8991,251.463,57502161
08-11-2017,251.2685,251.9976,250.9574,251.8907,50469579
09-11-2017,250.5491,251.1908,249.2173,250.9769,93981044
10-11-2017,250.5491,251.0961,250.1992,250.8991,59984662
13-11-2017,250.1408,251.3852,250.102,251.1324,50228648
14-11-2017,250.2381,250.6658,249.3729,250.5491,61315152
15-11-2017,249.4701,250.0534,248.5077,249.2951,80811525
16-11-2017,250.345,251.8226,250.3011,251.4143,67777027
17-11-2017,251.0255,251.3834,250.588,250.6755,75756833
20-11-2017,250.9477,251.322,250.6755,251.1033,48075514
21-11-2017,251.9587,252.9503,251.067,252.7462,69176799
22-11-2017,252.7559,252.9017,252.3379,252.5226,45033392
24-11-2017,253.067,253.2225,252.9114,253.1059,27856514
27-11-2017,253.1545,253.485,252.7559,252.9795,52274922
28-11-2017,253.4947,255.5751,253.3926,255.5459,98971719
29-11-2017,255.6918,256.2848,254.8946,255.3904,77512102
30-11-2017,256.4111,258.6373,256.3236,257.6263,127894389
01-12-2017,257.3833,257.9179,253.4947,257.0916,164390902
04-12-2017,258.8901,259.3664,256.7222,256.7805,94040560
05-12-2017,257.0625,257.7624,255.7112,255.857,77994544
06-12-2017,255.5459,256.382,255.3904,255.9056,75898566
07-12-2017,255.7598,257.0625,255.614,256.7125,77218569
08-12-2017,257.6069,258.1221,256.6751,258.1124,76563873
11-12-2017,258.1804,258.9581,258.0825,258.8901,83077533
12-12-2017,259.1428,259.8719,258.9241,259.347,85195750
13-12-2017,259.6192,260.1053,259.2206,259.3178,102905409
14-12-2017,259.6386,259.7747,258.1999,258.2582,100666692
15-12-2017,259.4088,260.9134,259.3013,260.3956,144610290
18-12-2017,261.91,262.4377,261.8319,262.0468,83653572
19-12-2017,262.3253,262.3693,260.9623,261.0405,82382876
20-12-2017,262.1055,262.1738,260.5715,260.9037,76751500
21-12-2017,261.529,262.2276,261.1675,261.4411,67032339
22-12-2017,261.4704,261.4948,260.7767,261.3727,78720873
26-12-2017,260.9232,261.302,260.762,261.06,45244433
27-12-2017,261.2456,261.5876,260.8841,261.187,57750986
28-12-2017,261.7439,261.7733,261.314,261.7244,45116139
29-12-2017,262.3693,262.3888,260.5226,260.7376,96007424
